# time_mcc alt lat lon
1.681578484906621695e+09 3.599192801303972828e+02 -4.472174838062416313e+01 1.692538909309669179e+02
1.681578684792588949e+09 3.618869896423739192e+02 -4.472174838062416313e+01 1.692538909309669179e+02
1.681578884667480230e+09 3.599159199185473881e+02 -4.472175219439010618e+01 1.692538909309669179e+02
1.681579084523386002e+09 3.601588956918938038e+02 -4.472175219439010618e+01 1.692538909309669179e+02
1.681579284365834475e+09 3.605416257308195327e+02 -4.472175219439010618e+01 1.692538909309669179e+02
1.681579484242483139e+09 3.615289838895037065e+02 -4.472175600815605634e+01 1.692538756759031457e+02
1.681579684116439819e+09 3.589968256091226522e+02 -4.472173693932633398e+01 1.692538756759031457e+02
1.681579884012634277e+09 3.597751155867649686e+02 -4.472174838062416313e+01 1.692538756759031457e+02
1.681580083887880564e+09 3.609655756412460050e+02 -4.472175600815605634e+01 1.692538756759031457e+02
1.681580283740665913e+09 3.591460782008120987e+02 -4.472175982192199939e+01 1.692538909309669179e+02
1.681580483602888107e+09 3.582667527623164005e+02 -4.472176363568794244e+01 1.692539061860306902e+02
1.681580683454074860e+09 3.591627742534417393e+02 -4.472175600815605634e+01 1.692538909309669179e+02
1.681580883312320709e+09 3.592255777584448424e+02 -4.472175219439010618e+01 1.692538909309669179e+02
1.681581083183913469e+09 3.588412439820451709e+02 -4.472175219439010618e+01 1.692538909309669179e+02
1.681581283056321383e+09 3.585376507506096004e+02 -4.472173312556039093e+01 1.692538909309669179e+02
1.681581482960577965e+09 3.585018912233649644e+02 -4.472171024296472552e+01 1.692538909309669179e+02
1.681581682866134882e+09 3.596447069103933245e+02 -4.472171405673066857e+01 1.692538909309669179e+02
1.681581882755374908e+09 3.615625287316652248e+02 -4.472171787049661162e+01 1.692538909309669179e+02
1.681582082619585037e+09 3.584473832413664240e+02 -4.472173312556039093e+01 1.692538909309669179e+02
1.681582282460792303e+09 3.579694121978175190e+02 -4.472173312556039093e+01 1.692538909309669179e+02
1.681582482320508957e+09 3.587701640461502848e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681582682170085192e+09 3.568089553985764724e+02 -4.472175219439010618e+01 1.692538909309669179e+02
1.681582882025333643e+09 3.588172261041629554e+02 -4.472174456685822008e+01 1.692538909309669179e+02
1.681583081891296148e+09 3.587471007739070501e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681583281783294678e+09 3.607786161268079468e+02 -4.472174456685822008e+01 1.692538909309669179e+02
1.681583481675204992e+09 3.606400360261648075e+02 -4.472173312556039093e+01 1.692538909309669179e+02
1.681583681539339066e+09 3.588216172901031769e+02 -4.472174075309227703e+01 1.692539061860306902e+02
1.681583881391125441e+09 3.584143634323063452e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681584081257005453e+09 3.568414215363659423e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681584281121957302e+09 3.612165128256233402e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681584480987503767e+09 3.590940235553061939e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681584680845898628e+09 3.588463988524970318e+02 -4.472173312556039093e+01 1.692538909309669179e+02
1.681584880696304083e+09 3.608421928623788517e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681585080557282686e+09 3.618118526325122275e+02 -4.472174075309227703e+01 1.692538756759031457e+02
1.681585280443254709e+09 3.596630544307788568e+02 -4.472174075309227703e+01 1.692538756759031457e+02
1.681585480320152283e+09 3.593801188653753798e+02 -4.472173312556039093e+01 1.692538909309669179e+02
1.681585680185862064e+09 3.613983079235531477e+02 -4.472173312556039093e+01 1.692539061860306902e+02
1.681585880033906221e+09 3.598878163285291976e+02 -4.472173312556039093e+01 1.692538909309669179e+02
1.681586079890617371e+09 3.606068634802024917e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681586279739025116e+09 3.608634328378511782e+02 -4.472172549802850483e+01 1.692538909309669179e+02
1.681586479597885370e+09 3.590725926587060712e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681586679455756426e+09 3.571442510832903281e+02 -4.472173693932633398e+01 1.692539061860306902e+02
1.681586879383514404e+09 3.597703234664561478e+02 -4.472173693932633398e+01 1.692539061860306902e+02
1.681587079286311388e+09 3.606403414999695087e+02 -4.472172168426255467e+01 1.692538909309669179e+02
1.681587279163244963e+09 3.585420801207753811e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681587479006234646e+09 3.586423328050045711e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681587678854171753e+09 3.579503773613716930e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681587878709624290e+09 3.582224113303755075e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681588078562948227e+09 3.615515984970963927e+02 -4.472173312556039093e+01 1.692539061860306902e+02
1.681588278421213865e+09 3.589182424729033301e+02 -4.472171024296472552e+01 1.692539061860306902e+02
1.681588478301793814e+09 3.578143842420108740e+02 -4.472173693932633398e+01 1.692539061860306902e+02
1.681588678173892021e+09 3.556808406383918282e+02 -4.472174456685822008e+01 1.692538909309669179e+02
1.681588878029903889e+09 3.544280925659527384e+02 -4.472174456685822008e+01 1.692538909309669179e+02
1.681589077882336140e+09 3.561292093610691154e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681589277732777357e+09 3.558656236519723279e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681589477573354006e+09 3.573043766332102678e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681589677434362173e+09 3.586302093133865583e+02 -4.472173693932633398e+01 1.692539061860306902e+02
1.681589877285510063e+09 3.595592315214591963e+02 -4.472173312556039093e+01 1.692539061860306902e+02
1.681590077148397446e+09 3.574905056407419579e+02 -4.472174075309227703e+01 1.692539061860306902e+02
1.681590277035501957e+09 3.572124576562114271e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681590476915204048e+09 3.568781643074187286e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681590676766737223e+09 3.555457734865010480e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681590876627593994e+09 3.560354575412429767e+02 -4.472173693932633398e+01 1.692538756759031457e+02
1.681591076469860554e+09 3.573976988804986377e+02 -4.472173312556039093e+01 1.692538756759031457e+02
1.681591276323200941e+09 3.558375487001235342e+02 -4.472172931179444788e+01 1.692538909309669179e+02
1.681591476183666706e+09 3.567537791926306454e+02 -4.472173693932633398e+01 1.692538909309669179e+02
1.681591676078748226e+09 3.566458037487802812e+02 -4.472174075309227703e+01 1.692538909309669179e+02
1.681591875991233110e+09 3.587228919748968110e+02 -4.472174838062416313e+01 1.692538756759031457e+02
1.681592075884973526e+09 3.600338996294965455e+02 -4.472175600815605634e+01 1.692538756759031457e+02
1.681592275739830971e+09 3.604838816357039377e+02 -4.472175600815605634e+01 1.692538756759031457e+02
1.681592475597790480e+09 3.593292192926930966e+02 -4.472175219439010618e+01 1.692538756759031457e+02
1.681592675443053722e+09 3.596313424314444092e+02 -4.472174838062416313e+01 1.692538756759031457e+02
1.681592875294034004e+09 3.605135412329141218e+02 -4.472173693932633398e+01 1.692538756759031457e+02
1.681593075151871681e+09 3.588400220868270480e+02 -4.472173312556039093e+01 1.692538756759031457e+02
1.681593275033455610e+09 3.578698659217614022e+02 -4.472174075309227703e+01 1.692538756759031457e+02
1.681593475133874893e+09 3.589446373188272901e+02 -4.472174075309227703e+01 1.692538756759031457e+02
1.681593674997235537e+09 3.574783248727858336e+02 -4.472173693932633398e+01 1.692538756759031457e+02
1.681593874857184649e+09 3.610178784842178175e+02 -4.472174456685822008e+01 1.692538909309669179e+02
1.681594074703982830e+09 3.581974770310794156e+02 -4.472174075309227703e+01 1.692538756759031457e+02
1.681594274552479744e+09 3.590214162503884836e+02 -4.472174075309227703e+01 1.692538756759031457e+02
